"","state","gender","age","race","hisp","edu","n"
"1","AK","Female","18","API",0,0,2
"2","AK","Female","18","API",0,1,3
"3","AK","Female","18","Native",0,0,18
"4","AK","Female","18","Native",0,1,3
"5","AK","Female","18","Native",1,0,3
"6","AK","Female","18","Other",0,0,6
"7","AK","Female","18","Other",0,1,3
"8","AK","Female","18","Other",1,0,3
"9","AK","Female","18","Other",1,1,1
"10","AK","Female","18","White",0,0,24
"11","AK","Female","18","White",0,1,11
"12","AK","Female","25","API",0,0,4
"13","AK","Female","25","API",0,1,6
"14","AK","Female","25","Black",0,1,1
"15","AK","Female","25","Black",1,1,1
"16","AK","Female","25","Native",0,0,26
"17","AK","Female","25","Native",0,1,17
"18","AK","Female","25","Other",0,0,3
"19","AK","Female","25","Other",0,1,4
"20","AK","Female","25","Other",1,1,1
"21","AK","Female","25","White",0,0,26
"22","AK","Female","25","White",0,1,34
"23","AK","Female","35","API",0,0,7
"24","AK","Female","35","API",0,1,5
"25","AK","Female","35","Black",0,0,2
"26","AK","Female","35","Black",0,1,4
"27","AK","Female","35","Native",0,0,15
"28","AK","Female","35","Native",0,1,4
"29","AK","Female","35","Native",1,0,1
"30","AK","Female","35","Other",0,0,2
"31","AK","Female","35","Other",0,1,6
"32","AK","Female","35","Other",1,0,2
"33","AK","Female","35","Other",1,1,2
"34","AK","Female","35","White",0,0,10
"35","AK","Female","35","White",0,1,51
"36","AK","Female","35","White",1,1,1
"37","AK","Female","45","API",0,0,4
"38","AK","Female","45","API",0,1,5
"39","AK","Female","45","Black",0,0,1
"40","AK","Female","45","Native",0,0,11
"41","AK","Female","45","Native",0,1,12
"42","AK","Female","45","Native",1,0,1
"43","AK","Female","45","Other",0,1,3
"44","AK","Female","45","Other",1,0,1
"45","AK","Female","45","Other",1,1,1
"46","AK","Female","45","White",0,0,15
"47","AK","Female","45","White",0,1,49
"48","AK","Female","55","API",0,0,3
"49","AK","Female","55","API",0,1,3
"50","AK","Female","55","Black",0,0,1
"51","AK","Female","55","Black",0,1,2
"52","AK","Female","55","Native",0,0,21
"53","AK","Female","55","Native",0,1,13
"54","AK","Female","55","Other",0,0,3
"55","AK","Female","55","Other",1,1,1
"56","AK","Female","55","White",0,0,19
