"","state","region","gender","age","race","hisp","edu","n"
"1","AK","West","Female","18","API",0,0,2
"2","AK","West","Female","18","API",0,1,3
"3","AK","West","Female","18","Native",0,0,18
"4","AK","West","Female","18","Native",0,1,3
"5","AK","West","Female","18","Native",1,0,3
"6","AK","West","Female","18","Other",0,0,6
"7","AK","West","Female","18","Other",0,1,3
"8","AK","West","Female","18","Other",1,0,3
"9","AK","West","Female","18","Other",1,1,1
"10","AK","West","Female","18","White",0,0,24
"11","AK","West","Female","18","White",0,1,11
"12","AK","West","Female","25","API",0,0,4
"13","AK","West","Female","25","API",0,1,6
"14","AK","West","Female","25","Black",0,1,1
"15","AK","West","Female","25","Black",1,1,1
"16","AK","West","Female","25","Native",0,0,26
"17","AK","West","Female","25","Native",0,1,17
"18","AK","West","Female","25","Other",0,0,3
"19","AK","West","Female","25","Other",0,1,4
"20","AK","West","Female","25","Other",1,1,1
"21","AK","West","Female","25","White",0,0,26
"22","AK","West","Female","25","White",0,1,34
"23","AK","West","Female","35","API",0,0,7
"24","AK","West","Female","35","API",0,1,5
"25","AK","West","Female","35","Black",0,0,2
"26","AK","West","Female","35","Black",0,1,4
"27","AK","West","Female","35","Native",0,0,15
"28","AK","West","Female","35","Native",0,1,4
"29","AK","West","Female","35","Native",1,0,1
"30","AK","West","Female","35","Other",0,0,2
"31","AK","West","Female","35","Other",0,1,6
"32","AK","West","Female","35","Other",1,0,2
"33","AK","West","Female","35","Other",1,1,2
"34","AK","West","Female","35","White",0,0,10
"35","AK","West","Female","35","White",0,1,51
"36","AK","West","Female","35","White",1,1,1
"37","AK","West","Female","45","API",0,0,4
"38","AK","West","Female","45","API",0,1,5
"39","AK","West","Female","45","Black",0,0,1
"40","AK","West","Female","45","Native",0,0,11
"41","AK","West","Female","45","Native",0,1,12
"42","AK","West","Female","45","Native",1,0,1
"43","AK","West","Female","45","Other",0,1,3
"44","AK","West","Female","45","Other",1,0,1
"45","AK","West","Female","45","Other",1,1,1
"46","AK","West","Female","45","White",0,0,15
"47","AK","West","Female","45","White",0,1,49
"48","AK","West","Female","55","API",0,0,3
"49","AK","West","Female","55","API",0,1,3
"50","AK","West","Female","55","Black",0,0,1
"51","AK","West","Female","55","Black",0,1,2
"52","AK","West","Female","55","Native",0,0,21
"53","AK","West","Female","55","Native",0,1,13
"54","AK","West","Female","55","Other",0,0,3
"55","AK","West","Female","55","Other",1,1,1
"56","AK","West","Female","55","White",0,0,19
"57","AK","West","Female","55","White",0,1,48
"58","AK","West","Female","55","White",1,0,2
"59","AK","West","Female","65","API",0,0,1
"60","AK","West","Female","65","API",0,1,1
"61","AK","West","Female","65","Black",0,1,4
"62","AK","West","Female","65","Native",0,0,12
"63","AK","West","Female","65","Native",0,1,8
"64","AK","West","Female","65","Other",0,0,4
"65","AK","West","Female","65","Other",0,1,2
"66","AK","West","Female","65","White",0,0,26
"67","AK","West","Female","65","White",0,1,43
"68","AK","West","Female","75","Native",0,0,6
"69","AK","West","Female","75","Native",0,1,4
"70","AK","West","Female","75","White",0,0,14
"71","AK","West","Female","75","White",0,1,20
"72","AK","West","Female","NA","API",0,0,20
"73","AK","West","Female","NA","Black",0,0,9
"74","AK","West","Female","NA","Native",0,0,79
"75","AK","West","Female","NA","Native",0,1,1
"76","AK","West","Female","NA","Other",0,0,30
"77","AK","West","Female","NA","Other",1,0,6
"78","AK","West","Female","NA","White",0,0,94
"79","AK","West","Female","NA","White",0,1,8
"80","AK","West","Female","NA","White",1,0,4
"81","AK","West","Male","18","API",0,0,2
"82","AK","West","Male","18","API",0,1,4
"83","AK","West","Male","18","Native",0,0,37
"84","AK","West","Male","18","Native",0,1,2
"85","AK","West","Male","18","Native",1,0,1
"86","AK","West","Male","18","Other",0,0,3
"87","AK","West","Male","18","Other",0,1,2
"88","AK","West","Male","18","Other",1,0,2
"89","AK","West","Male","18","White",0,0,41
"90","AK","West","Male","18","White",0,1,10
"91","AK","West","Male","18","White",1,0,3
"92","AK","West","Male","18","White",1,1,1
"93","AK","West","Male","25","API",0,0,7
"94","AK","West","Male","25","Black",0,0,1
"95","AK","West","Male","25","Black",0,1,4
"96","AK","West","Male","25","Native",0,0,33
"97","AK","West","Male","25","Native",0,1,4
"98","AK","West","Male","25","Other",0,0,10
"99","AK","West","Male","25","Other",0,1,8
"100","AK","West","Male","25","Other",1,0,2
"101","AK","West","Male","25","White",0,0,36
"102","AK","West","Male","25","White",0,1,39
"103","AK","West","Male","25","White",1,1,4
"104","AK","West","Male","35","API",0,0,13
"105","AK","West","Male","35","API",0,1,1
"106","AK","West","Male","35","Black",0,0,4
"107","AK","West","Male","35","Black",0,1,3
"108","AK","West","Male","35","Native",0,0,26
"109","AK","West","Male","35","Native",0,1,7
"110","AK","West","Male","35","Native",1,0,1
"111","AK","West","Male","35","Other",0,0,9
"112","AK","West","Male","35","Other",0,1,2
"113","AK","West","Male","35","Other",1,0,2
"114","AK","West","Male","35","White",0,0,23
"115","AK","West","Male","35","White",0,1,49
"116","AK","West","Male","35","White",1,1,1
"117","AK","West","Male","45","API",0,0,4
"118","AK","West","Male","45","API",0,1,3
"119","AK","West","Male","45","Black",0,0,2
"120","AK","West","Male","45","Native",0,0,18
"121","AK","West","Male","45","Native",0,1,8
"122","AK","West","Male","45","Native",1,0,1
"123","AK","West","Male","45","Native",1,1,1
"124","AK","West","Male","45","Other",0,0,2
"125","AK","West","Male","45","Other",0,1,3
"126","AK","West","Male","45","Other",1,0,3
"127","AK","West","Male","45","Other",1,1,2
"128","AK","West","Male","45","White",0,0,35
"129","AK","West","Male","45","White",0,1,45
"130","AK","West","Male","45","White",1,1,1
"131","AK","West","Male","55","API",0,0,3
"132","AK","West","Male","55","API",0,1,2
"133","AK","West","Male","55","Black",0,1,3
"134","AK","West","Male","55","Native",0,0,25
"135","AK","West","Male","55","Native",0,1,12
"136","AK","West","Male","55","Other",0,0,3
"137","AK","West","Male","55","Other",0,1,4
"138","AK","West","Male","55","White",0,0,31
"139","AK","West","Male","55","White",0,1,42
"140","AK","West","Male","55","White",1,1,2
"141","AK","West","Male","65","API",0,0,1
"142","AK","West","Male","65","API",0,1,3
"143","AK","West","Male","65","Black",0,0,1
"144","AK","West","Male","65","Black",0,1,2
"145","AK","West","Male","65","Native",0,0,11
"146","AK","West","Male","65","Native",0,1,6
"147","AK","West","Male","65","White",0,0,18
"148","AK","West","Male","65","White",0,1,60
"149","AK","West","Male","65","White",1,0,1
"150","AK","West","Male","75","Black",0,1,1
"151","AK","West","Male","75","Native",0,0,7
"152","AK","West","Male","75","Other",0,0,1
"153","AK","West","Male","75","Other",0,1,2
"154","AK","West","Male","75","Other",1,0,1
"155","AK","West","Male","75","Other",1,1,1
"156","AK","West","Male","75","White",0,0,10
"157","AK","West","Male","75","White",0,1,22
"158","AK","West","Male","75","White",1,0,1
"159","AK","West","Male","NA","API",0,0,17
"160","AK","West","Male","NA","Black",0,0,6
"161","AK","West","Male","NA","Native",0,0,106
"162","AK","West","Male","NA","Native",1,0,2
"163","AK","West","Male","NA","Other",0,0,22
"164","AK","West","Male","NA","Other",1,0,4
"165","AK","West","Male","NA","White",0,0,92
"166","AK","West","Male","NA","White",0,1,9
"167","AK","West","Male","NA","White",1,0,4
"168","AL","South","Female","18","API",0,0,5
"169","AL","South","Female","18","API",0,1,3
"170","AL","South","Female","18","Black",0,0,106
