#,region,reg,vote_2016,intention,vote_2020,gender,hisp,race,income,edu,state,age
1,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,WI,45
2,South,1,"Did not vote, but was eligible",Yes,I am not sure/don't know,Female,0,White,>100K,1,VA,35
3,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,VA,45
4,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,0,TX,75
5,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,WA,45
6,Midwest,0,Was not eligible to vote,Not eligible,I would not vote,Female,0,White,<50K,0,OH,35
7,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,MA,18
8,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,TX,35
9,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,CA,65
10,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,NC,55
11,Midwest,1,Donald Trump,Yes,I am not sure/don't know,Female,0,White,>100K,1,OH,45
12,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,MD,65
13,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,FL,55
14,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,WV,55
15,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,0,OH,35
16,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,NY,75
17,South,1,Jill Stein,Yes,Joe Biden,Female,0,White,<50K,1,KY,18
18,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,FL,65
19,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,>100K,1,IN,65
20,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,NA,0,MI,55
21,West,1,Jill Stein,Yes,Joe Biden,Male,0,White,<50K,1,WA,35
22,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,IA,65
23,West,0,"Did not vote, but was eligible",Not sure,Joe Biden,Female,0,White,NA,1,CA,55
24,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,SC,55
25,Midwest,1,Gary Johnson,Yes,Joe Biden,Male,0,White,50K-100K,1,MN,65
26,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,GA,65
27,Northeast,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,PA,25
28,Northeast,1,Donald Trump,Yes,Joe Biden,Female,0,White,50K-100K,1,NJ,65
29,South,1,Gary Johnson,Yes,Donald Trump,Female,0,White,<50K,1,VA,25
30,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,SC,75
31,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,TX,65
32,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,<50K,1,FL,18
33,Northeast,0,"Did not vote, but was eligible",No,I would not vote,Female,0,White,<50K,0,NY,45
34,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,AZ,55
35,Midwest,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,IL,75
36,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,OH,65
37,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,OH,45
38,West,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,1,CA,65
39,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,FL,35
40,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,50K-100K,1,NC,65
41,South,1,Someone else:,Yes,Joe Biden,Male,0,White,>100K,1,TX,35
42,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,FL,35
43,Northeast,1,Hillary Clinton,Not sure,I am not sure/don't know,Female,0,White,50K-100K,0,NY,45
44,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,TX,35
45,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NJ,35
46,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,White,<50K,0,AR,55
47,South,0,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Female,0,White,<50K,0,OK,55
48,West,0,"Did not vote, but was eligible",Not sure,Someone else,Female,0,White,50K-100K,0,NV,35
49,South,1,Was not eligible to vote,Yes,Joe Biden,Female,0,White,NA,1,FL,18
50,South,1,Was not eligible to vote,Yes,I am not sure/don't know,Female,0,White,<50K,1,FL,45
51,South,1,Jill Stein,Yes,Someone else,Female,0,API,50K-100K,1,TX,25
52,West,0,"Did not vote, but was eligible",Yes,Joe Biden,Female,0,White,<50K,0,CA,25
53,Northeast,1,Gary Johnson,Yes,Someone else,Female,0,White,50K-100K,1,NY,45
54,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,OR,65
55,Northeast,1,"Did not vote, but was eligible",Yes,Donald Trump,Female,0,White,<50K,1,PA,55
56,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,Black,>100K,1,PA,75
57,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NC,65
58,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,0,TX,35
59,West,1,Donald Trump,Yes,I am not sure/don't know,Female,0,White,<50K,0,CA,18
60,South,1,Donald Trump,Yes,Donald Trump,Male,0,API,50K-100K,1,VA,25
61,Midwest,1,Donald Trump,Yes,Donald Trump,Male,0,White,50K-100K,1,OH,65
62,West,1,Donald Trump,Yes,Joe Biden,Female,0,API,>100K,1,CA,25
63,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,IL,45
64,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,NC,75
65,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,0,MI,55
66,Northeast,1,Donald Trump,Yes,Someone else,Female,0,White,<50K,0,PA,65
67,West,1,Gary Johnson,Yes,Joe Biden,Female,0,White,>100K,1,CA,18
68,Midwest,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,MI,35
69,Northeast,1,Hillary Clinton,Yes,Joe Biden,Male,0,White,<50K,0,CT,35
70,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,50K-100K,1,NC,55
71,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,DE,65
72,Midwest,1,Jill Stein,Yes,I am not sure/don't know,Female,0,White,<50K,1,WI,65
73,South,1,Donald Trump,Yes,I am not sure/don't know,Male,0,White,50K-100K,1,FL,35
74,Northeast,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,CT,65
75,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,NC,35
76,West,1,Donald Trump,Yes,Donald Trump,Female,0,White,<50K,1,OR,65
77,Midwest,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,IL,55
78,Northeast,1,Hillary Clinton,No,Joe Biden,Female,1,White,<50K,0,NJ,18
79,South,1,Gary Johnson,Yes,I am not sure/don't know,Female,0,White,<50K,1,TX,65
80,West,1,Hillary Clinton,Yes,Donald Trump,Female,0,White,<50K,1,CA,45
81,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,NA,1,NC,65
82,South,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,>100K,1,FL,65
83,Midwest,1,Someone else:,Yes,Joe Biden,Female,0,White,<50K,1,IA,45
84,South,1,Donald Trump,Yes,Donald Trump,Female,0,White,>100K,1,GA,45
85,Midwest,1,Gary Johnson,Yes,Someone else,Male,0,White,50K-100K,1,IL,35
86,Northeast,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,50K-100K,1,NY,55
87,West,1,Hillary Clinton,Yes,Joe Biden,Female,0,White,<50K,1,WA,55
88,Midwest,1,Gary Johnson,Yes,Joe Biden,Female,0,White,50K-100K,1,MI,35
